[03:36:54.460 --> 03:36:56.460]  Fed: Well, anything else
[03:49:32.460 --> 03:49:34.460]  Fed: our cases are, you know, airtight, right?
[03:49:34.460 --> 03:49:36.460]  Fed: We've covered every angle that we can.
[03:49:36.460 --> 03:49:37.460]  Fed: We've got all the information,
[03:49:37.460 --> 03:49:39.460]  Fed: and we've vetted everything to make sure that,
[03:49:39.460 --> 03:49:40.460]  Fed: we have the right person, right?
[03:49:40.460 --> 03:49:42.460]  Fed: We want to make sure we have the right person,
[03:49:42.460 --> 03:49:44.460]  Fed: and we have everything that leads up to it.
[03:49:44.460 --> 03:49:46.460]  Fed: So, anyway, that's all just background
[03:49:46.460 --> 03:49:48.460]  Fed: on how we work and how we work with sources
[03:49:48.460 --> 03:49:49.460]  Fed: and stuff like that.
[03:49:49.460 --> 03:49:50.460]  Val: That's good.
[03:49:50.460 --> 03:49:52.460]  Val: I like to do extremely different things.
[03:49:52.460 --> 03:49:54.460]  Val: Cause, it's really like Tim and Jami.
[03:49:54.460 --> 03:49:56.460]  Val: Tim and Jami are very different.
[03:49:56.460 --> 03:49:58.460]  Fed: Yeah, because I think that's the other thing, too,
[03:49:58.460 --> 03:50:00.460]  Fed: is if we break the rules to get to our end of goal,
[03:50:00.460 --> 03:50:02.460]  Fed: how are we getting better than the bad guys?
[03:50:02.460 --> 03:50:03.460]  Val: Right.
[03:50:03.460 --> 03:50:04.460]  Val: Right, and justifying it.
[03:50:04.460 --> 03:50:05.460]  Fed: Yeah, it's easy.
[03:50:05.460 --> 03:50:07.460]  Fed: I mean, it'd be easy for me to hack into a bunch of stuff,
[03:50:07.460 --> 03:50:09.460]  Fed: but then I'm just a hacker.
[03:50:09.460 --> 03:50:12.460]  Fed: I'm just a criminal doing rogue stuff.
[03:50:12.460 --> 03:50:14.460]  Val: Oh, vigilante.
[03:50:14.460 --> 03:50:16.460]  Fed: True, but vigilante is just not far.
[03:50:16.460 --> 03:50:19.460]  Fed: Anyway, that goes a whole different term.
[03:50:19.460 --> 03:50:21.460]  Val: Let's say that for a Signal group.
[03:50:21.460 --> 03:50:22.460]  Fed: Okay.
[03:50:24.460 --> 03:50:25.460]  Fed: So, what else do I have?
[03:50:25.460 --> 03:50:27.460]  Fed: Okay, we talked about Irish bank fraud.
[03:50:27.460 --> 03:50:31.460]  Fed: OCCP, you're an admin on Hunter.ddos.
[03:50:31.460 --> 03:50:32.460]  Val: Both.
[03:50:35.460 --> 03:50:37.460]  Fed: The use of OCCP.
[03:50:37.460 --> 03:50:38.460]  Val: OCCRP, yeah.
[03:50:38.460 --> 03:50:39.460]  Fed: OCCRP is down?
[03:50:39.460 --> 03:50:40.460]  Val: No, it's up.
[03:50:40.460 --> 03:50:41.460]  Fed: Okay, yeah.
[03:50:41.460 --> 03:50:42.460]  Fed: So, you're an admin on goal?
[03:50:42.460 --> 03:50:43.460]  Val: Yeah.
[03:50:43.460 --> 03:50:45.460]  Val: Well, I have an account.
[03:50:45.460 --> 03:50:46.460]  Fed: Okay.
[03:50:46.460 --> 03:50:47.460]  Val: And...
[03:50:47.460 --> 03:50:49.460]  Val: I know how to understand the documents, too,
[03:50:49.460 --> 03:50:50.460]  Val: which is...
[03:50:50.460 --> 03:50:53.460]  Val: I've learned a lot from the government.
[03:50:53.460 --> 03:50:56.460]  Val: So, if you need to...
[03:50:56.460 --> 03:50:58.460]  Val: If you want to know what a CLO is,
[03:50:58.460 --> 03:51:00.460]  Val: why it's important that it happens in 2008
[03:51:00.460 --> 03:51:04.460]  Val: in Ireland versus the UK,
[03:51:04.460 --> 03:51:06.460]  Val: I can help you understand that.
[03:51:06.460 --> 03:51:07.460]  Fed: Okay.
[03:51:08.460 --> 03:51:09.460]  Fed: Let's see.
[03:51:09.460 --> 03:51:10.460]  Fed: You have...
[03:51:10.460 --> 03:51:12.460]  Fed: David Eichrich has...
[03:51:12.460 --> 03:51:16.460]  Fed: Well, I guess he tasks you to get into Epstein's email
[03:51:16.460 --> 03:51:19.460]  Fed: and Epstein's wife's email.
[03:51:19.460 --> 03:51:21.460]  Val: You know what he's password was?
[03:51:21.460 --> 03:51:23.460]  Val: It's so funny.
[03:51:23.460 --> 03:51:24.460]  Val: It's G-21.
[03:51:30.460 --> 03:51:31.460]  Val: A little same job.
Fed: How long'd that take you?
Val: About five minutes.
[03:51:39.460 --> 03:51:41.460]  Val: You can just look at the old hacks from...
[03:51:41.460 --> 03:51:42.460]  Fed: Oh, right.
[03:51:42.460 --> 03:51:43.460]  Val: Yeah, pretty easy.
[03:51:43.460 --> 03:51:45.460]  Val: But don't tell anybody.
[03:51:45.460 --> 03:51:49.460]  Fed: You're also in a single group with Barrett,
[03:51:49.460 --> 03:51:54.460]  Fed: Emma, Xan, your friend,
[03:51:54.460 --> 03:51:56.460]  Fed: and like a hundred other people there.
[03:51:56.460 --> 03:51:57.460]  Val: And a lot of journalists.
[03:51:57.460 --> 03:51:58.460]  Fed: Journalists.
[03:51:58.460 --> 03:51:59.460]  Fed: Journalists.
[03:51:59.460 --> 03:52:00.460]  Fed: Journalists.
[03:52:00.460 --> 03:52:01.460]  Fed: Okay.
[03:52:01.460 --> 03:52:02.460]  Fed: You're capable of doing some email hacks
[03:52:02.460 --> 03:52:06.460]  Fed: and then you'll do some light forensics.
[03:52:06.460 --> 03:52:08.460]  Fed: I guess with this single group...
[03:52:08.460 --> 03:52:09.460]  Val: I'm good with forensics
[03:52:09.460 --> 03:52:10.460]  Fed: Okay.
[03:52:10.460 --> 03:52:11.460]  Val: Not light.
[03:52:11.460 --> 03:52:12.460]  Fed: That's...
[03:52:12.460 --> 03:52:13.460]  Val: I've been practicing a lot with that.
[03:52:13.460 --> 03:52:16.460]  Val: That's like my latest interest.
[03:52:16.460 --> 03:52:17.460]  Val: But mostly...
[03:52:17.460 --> 03:52:18.460]  Val: But with the software.
[03:52:18.460 --> 03:52:20.460]  Val: It happened, you know, not on my own.
[03:52:20.460 --> 03:52:22.460]  Val: I'm not coding it or writing it.
[03:52:22.460 --> 03:52:24.460]  Fed: I don't think many people are coding it
[03:52:24.460 --> 03:52:25.460]  Fed: or writing it themselves.
[03:52:25.460 --> 03:52:26.460]  Val: No? Ok good.
[03:52:26.460 --> 03:52:28.460]  Val: I think it's a little bit better than...
[03:52:28.460 --> 03:52:30.460]  Val: But yeah, with Magnet, it was open source.
[03:52:30.460 --> 03:52:32.460]  Val: But with Magnet, of course, it's better.
[03:52:32.460 --> 03:52:33.460]  Val: Yeah, it's not like that.
[03:52:33.460 --> 03:52:34.460]  Val: I can prove that to you.
[03:52:34.460 --> 03:52:37.460]  Val: You need to do a demonstration of that.
[03:52:37.460 --> 03:52:38.460]  Fed: Okay.
[03:52:38.460 --> 03:52:41.460]  Fed: In the Signal group, you said Barrett...
[03:52:41.460 --> 03:52:43.460]  Fed: Barrett said that he's not getting anything legal.
[03:52:43.460 --> 03:52:44.460]  Fed: Is that right?
[03:52:44.460 --> 03:52:45.460]  Fed: Or not getting anything stupid?
[03:52:45.460 --> 03:52:46.460]  Val: No.
[03:52:46.460 --> 03:52:48.460]  Val: He's always saying something stupid.
[03:52:48.460 --> 03:52:50.460]  Val: But he's just, you know, he's just a rabblerouser.
[03:52:50.460 --> 03:52:53.460]  Val: Let's see what happens after he calms down a bit.
[03:52:53.460 --> 03:52:55.460]  Val: Because he's high a lot.
[03:52:55.460 --> 03:52:56.460]  Fed: Okay.
[03:52:56.460 --> 03:52:57.460]  Val: He was very high.
[03:52:57.460 --> 03:52:59.460]  Val: And he was not happy.
[03:52:59.460 --> 03:53:01.460]  Val: So it was more worried about him.
[03:53:01.460 --> 03:53:03.460]  Val: No one really took it seriously.
[03:53:03.460 --> 03:53:06.460]  Fed: You said the rest of the stuff in that group is mainly...
[03:53:06.460 --> 03:53:08.460]  Fed: People miscontented about stuff.
[03:53:08.460 --> 03:53:09.460]  Val: Yeah.
[03:53:09.460 --> 03:53:11.460]  Fed: You said these steps are basically just bitching a lot.
[03:53:11.460 --> 03:53:12.460]  Fed: But like...
[03:53:12.460 --> 03:53:14.460]  Val: A lot of, like, fuck Louise Mensch, you know...
[03:53:14.460 --> 03:53:17.460]  Val: And like, well, actually, I couldn't want to fuck Louise Mensch.
[03:53:17.460 --> 03:53:19.460]  Val: You know, like, well, why would you want to do that?
[03:53:19.460 --> 03:53:21.460]  Val: You know, it's like that stuff.
[03:53:21.460 --> 03:53:23.460]  Val: You know, look at this Twitter post.
[03:53:23.460 --> 03:53:26.460]  Val: Or this cop just beat up this woman on the street.
[03:53:26.460 --> 03:53:28.460]  Val: You know, there's a lot of that, too.
[03:53:28.460 --> 03:53:29.460]  Fed: Okay.
[03:53:29.460 --> 03:53:30.460]  Val: With the riots and stuff.
[03:53:30.460 --> 03:53:31.460]  Fed: Sure.
[03:53:31.460 --> 03:53:35.460]  Val: But if you're asking if there's, like, organization or people are getting together and, you know...
[03:53:36.460 --> 03:53:38.460]  Val: I think they're very watched.
[03:53:38.460 --> 03:53:40.460]  Val: You know, there's no organization.
[03:53:40.460 --> 03:53:41.460]  Val: It's like, it's just chaos.
[03:53:41.460 --> 03:53:42.460]  Val: It's fun to see what happens.
[03:53:42.460 --> 03:53:44.460]  Val: It's like, might come out of it, yeah.
[03:53:44.460 --> 03:53:46.460]  Val: And I meet some interesting people.
[03:53:46.460 --> 03:53:48.460]  Fed: There's nothing, nothing explicitly illegal.
[03:53:48.460 --> 03:53:53.460]  Fed: They don't talk about, you know, collectivity or hacking stuff or anything like that.
[03:53:53.460 --> 03:53:54.460]  Val: Why?
[03:53:54.460 --> 03:53:55.460]  Val: Well, yeah, of course.
[03:53:55.460 --> 03:53:57.460]  Val: No, there is a talk about that, yeah.
[03:53:57.460 --> 03:53:59.460]  Val: But it's like a friend of mine says,
[03:53:59.460 --> 03:54:08.460]  Val: Oh, do you know how I get ISPs from Prague, you know, circa 2016?
[03:54:08.460 --> 03:54:10.460]  Val: Clearly, you're trying to find the Cohen shit, right?
[03:54:10.460 --> 03:54:12.460]  Val: You know, everyone's a loving the baby.
[03:54:12.460 --> 03:54:14.460]  Val: You know, stuff like that, you know.
[03:54:14.460 --> 03:54:16.460]  Val: And if you have it, you know where to get it.
[03:54:16.460 --> 03:54:18.460]  Val: Sure here you go
[03:54:18.460 --> 03:54:19.460]  Val: There's a link.
[03:54:19.460 --> 03:54:20.460]  Val: Do you know what Irish bankers are?
[03:54:20.460 --> 03:54:23.460]  Val: The other day, I mean, an Irish banker that knows how to do,
[03:54:23.460 --> 03:54:25.460]  Val: you know, anybody in Ireland right now.
[03:54:25.460 --> 03:54:27.460]  Val: I'm here to get some coin telegraph.
[03:54:27.460 --> 03:54:29.460]  Val: Yeah, stuff like that.
[03:54:29.460 --> 03:54:35.460]  Val: But like, I'm the only idiot that says, Hey, Emma,
[03:54:35.460 --> 03:54:38.460]  Val: can you give me a favor and help me hack David Enrich?
[03:54:38.460 --> 03:54:40.460]  Val: Because I got to get into his fucking email.
[03:54:40.460 --> 03:54:42.460]  Val: I'm the only idiot that says that.
[03:54:42.460 --> 03:54:44.460]  Val: So, yeah.
[03:54:44.460 --> 03:54:45.460]  Fed: Okay.
[03:54:45.460 --> 03:54:48.460]  Fed: So no one else talked about like who's behind hack or who's behind it?
[03:54:48.460 --> 03:54:49.460]  Val: Oh, yeah.
[03:54:49.460 --> 03:54:50.460]  Val: I know.
[03:54:50.460 --> 03:54:51.460]  Val: Yeah.
[03:54:51.460 --> 03:54:53.460]  Val: There's a really good big discussion on who's behind Lulzs.
[03:54:53.460 --> 03:54:55.460]  Fed: Oh, LulzSec, I think.
[03:54:55.460 --> 03:55:00.460]  Val: Or, well, no, the abbreviated version of LulzSec.
[03:55:00.460 --> 03:55:01.460]  Fed: Okay.
[03:55:01.460 --> 03:55:03.460]  Val: It's like a, whoever did the Cayman Islands
[03:55:03.460 --> 03:55:04.460]  Fed: Oh, yeah.
[03:55:04.460 --> 03:55:06.460]  Fed: Who do they think is behind the Cayman Islands?
[03:55:06.460 --> 03:55:09.460]  Fed: I said they, I mean, what are some of the opinions of?
[03:55:09.460 --> 03:55:12.460]  Val: All I know is my opinion right now, as I can remember,
[03:55:12.460 --> 03:55:14.460]  Val: and I'm not holding back or meaning information,
[03:55:14.460 --> 03:55:16.460]  Val: because I just can't remember.
[03:55:16.460 --> 03:55:18.460]  Val: But if you give me time to look, I'll find it for you.
[03:55:18.460 --> 03:55:21.460]  Val: My opinion is, I think it's Emma.
[03:55:21.460 --> 03:55:24.460]  Val: The Spanish, the Spanish is broken.
[03:55:24.460 --> 03:55:27.460]  Val: Again, Marie speaks eight languages.
[03:55:27.460 --> 03:55:29.460]  Val: She told me it's not a first.
[03:55:29.460 --> 03:55:30.460]  Fed: It's not a native speaker.
[03:55:30.460 --> 03:55:31.460]  Val: It's not a native speaker.
[03:55:31.460 --> 03:55:36.460]  Val: And the angry, the anger sort of matches Emma's anger.
[03:55:36.460 --> 03:55:39.460]  Val: And the thought process that makes, gets you to write a certain sentence,
[03:55:39.460 --> 03:55:41.460]  Val: matches her thought process.
[03:55:41.460 --> 03:55:42.460]  Val: The way I figured it anyway.
[03:55:42.460 --> 03:55:44.460]  Val: You know, you have to, in order to say the certain sentence,
[03:55:44.460 --> 03:55:46.460]  Val: you have to think and feel the sort of thing.
[03:55:46.460 --> 03:55:48.460]  Val: We're in the, we're in this frame group.
[03:55:48.460 --> 03:55:50.460]  Val: And I see that pattern matched with it.
[03:55:50.460 --> 03:55:54.460]  Fed: So what Spanish document was it that matched?
[03:55:54.460 --> 03:55:55.460]  Val: The manifesto.
[03:55:55.460 --> 03:55:56.460]  Fed: Oh, the manifesto.
[03:55:57.460 --> 03:55:58.460]  Fed: Okay.
[03:55:58.460 --> 03:55:59.460]  Fed: Interesting.
[03:55:59.460 --> 03:56:00.460]  Fed: So aside from like the speech pattern,
[03:56:00.460 --> 03:56:02.460]  Fed: is there anything else, any other reason why you think
[03:56:02.460 --> 03:56:04.460]  Fed: that Best is behind the Cayman Islands?
[03:56:04.460 --> 03:56:07.460]  Val: Well, the thought process, obviously.
[03:56:07.460 --> 03:56:08.460]  Fed: Yeah.
[03:56:08.460 --> 03:56:09.460]  Fed: The motivation, I guess, right?
[03:56:09.460 --> 03:56:10.460]  Val: It's really angry.
[03:56:10.460 --> 03:56:11.460]  Val: Well, no, no more.
[03:56:11.460 --> 03:56:14.460]  Val: The motivation, well, you must know.
[03:56:14.460 --> 03:56:16.460]  Val: I mean, if you're a hacker, you know,
[03:56:16.460 --> 03:56:19.460]  Val: the motivation is just, you can do it.
[03:56:19.460 --> 03:56:21.460]  Val: You know, sometimes, yeah, you're broke, you need some money.
[03:56:21.460 --> 03:56:24.460]  Val: Or if you want to, you know, see, I'm better than you or not.
[03:56:24.460 --> 03:56:26.460]  Val: But it's like, here's a challenge.
[03:56:26.460 --> 03:56:28.460]  Val: You know, that's most of the motivation.
[03:56:28.460 --> 03:56:30.460]  Val: You should know that though, right?
[03:56:30.460 --> 03:56:31.460]  Fed: But it's different, too.
[03:56:31.460 --> 03:56:32.460]  Val: Oh, you mean political motivation.
[03:56:32.460 --> 03:56:33.460]  Fed: There's different motivations, too,
[03:56:33.460 --> 03:56:34.460]  Fed: with different hackers, too, right?
[03:56:34.460 --> 03:56:36.460]  Fed: Some hackers are just curious.
[03:56:36.460 --> 03:56:38.460]  Fed: Like, they just want to see if they can break the system.
[03:56:38.460 --> 03:56:40.460]  Fed: But they're the ones who hack for a purpose, right?
[03:56:40.460 --> 03:56:42.460]  Fed: Like, a lot of the hacktivists out there,
[03:56:42.460 --> 03:56:43.460]  Fed: you know, they'll hack because...
[03:56:43.460 --> 03:56:44.460]  Val: BlueLeaks.
[03:56:44.460 --> 03:56:45.460]  Fed: What about...
[03:56:45.460 --> 03:56:47.460]  Val: We're talking about BlueLeaks, aren't we?
[03:56:47.460 --> 03:56:48.460]  Fed: What about BlueLeaks leak?
[03:56:48.460 --> 03:56:50.460]  Val: That's what you're asking about.
[03:56:50.460 --> 03:56:52.460]  Fed: Well, there's a bunch of different types of things.
[03:56:52.460 --> 03:56:53.460]  Val: I don't know.
[03:56:53.460 --> 03:56:58.460]  Val: So, the BlueLeaks appeared on...
[03:56:58.460 --> 03:57:01.460]  Val: Honestly, I don't know why you're going after Emma.
[03:57:01.460 --> 03:57:03.460]  Val: I don't think she did it.
[03:57:03.460 --> 03:57:05.460]  Val: First of all, I think she did the Cayman one.
[03:57:05.460 --> 03:57:06.460]  Val: I don't think he did BlueLeaks.
[03:57:06.460 --> 03:57:08.460]  Val: BlueLeaks was...
[03:57:08.460 --> 03:57:11.460]  Val: But you know, and I'm sure you know,
[03:57:11.460 --> 03:57:15.460]  Val: and I'm sure you know that your computer systems are outdated.
[03:57:15.460 --> 03:57:16.460]  Val: Right?
[03:57:16.460 --> 03:57:17.460]  Val: Okay?
[03:57:17.460 --> 03:57:19.460]  Val: They're fucking really outdated, right?
[03:57:19.460 --> 03:57:22.460]  Val: And the FBI's computer systems are outdated.
[03:57:22.460 --> 03:57:25.460]  Val: What do you think the local sheriff's fucking office in Minnesota
[03:57:25.460 --> 03:57:28.460]  Val: is still running, like, Windows NT, right?
[03:57:28.460 --> 03:57:31.460]  Val: So, it's not difficult, you know?
[03:57:31.460 --> 03:57:34.460]  Val: And I think it's consortium.
[03:57:34.460 --> 03:57:37.460]  Val: My personal opinion, based on no evidence at all,
[03:57:37.460 --> 03:57:42.460]  Val: is that a consortium hackers was pissed off about the...
[03:57:42.460 --> 03:57:44.460]  Val: the Black Lives Matter, I think, cause fuck the police
[03:57:44.460 --> 03:57:46.460]  Val: and here's the revenge.
[03:57:46.460 --> 03:57:49.460]  Val: I don't think it was, you know,
[03:57:49.460 --> 03:57:51.460]  Val: politically motivated by...
[03:57:51.460 --> 03:57:56.460]  Val: motivated by some, like, left-wing George Soros fucking thing.
[03:57:56.460 --> 03:57:58.460]  Val: You know, conspiracy theory, right?
[03:57:58.460 --> 03:58:00.460]  Val: Just angry kids, you know?
[03:58:00.460 --> 03:58:01.460]  Val: That's it.
[03:58:01.460 --> 03:58:02.460]  Val: That's right.
[03:58:02.460 --> 03:58:03.460]  Val: But I could be wrong.
[03:58:03.460 --> 03:58:05.460]  Val: I'm often wrong.
[03:58:05.460 --> 03:58:07.460]  Fed: So, you don't think Emma Best's behind that
[03:58:07.460 --> 03:58:09.460]  Fed: But she's behind Cayman Islands and what else?
[03:58:09.460 --> 03:58:11.460]  Val: I personally, I think, Cayman yes.
[03:58:11.460 --> 03:58:15.460]  Val: Because just her reaction to my asking for the 100,000
[03:58:15.460 --> 03:58:18.460]  Val: in Bitcoin, Deutsche Bank, was sort of tipped me off.
[03:58:18.460 --> 03:58:21.460]  Val: You don't react like that if you're just the middle person.
[03:58:21.460 --> 03:58:23.460]  Fed: Interesting.
[03:58:23.460 --> 03:58:26.460]  Fed: Yeah, because she doesn't want to share it, though.
[03:58:26.460 --> 03:58:27.460]  Val: Yeah.
[03:58:27.460 --> 03:58:31.460]  Fed: There's a prize attached to it, so...
[03:58:31.460 --> 03:58:32.460]  Fed: so there was...
[03:58:32.460 --> 03:58:33.460]  Fed: so that...
[03:58:33.460 --> 03:58:35.460]  Fed: you said there was, like, a lot of discussion about who...
[03:58:35.460 --> 03:58:37.460]  Fed: or who did the Cayman thing that there was a lot of discussion
[03:58:37.460 --> 03:58:39.460]  Fed: in the group of who...
[03:58:39.460 --> 03:58:40.460]  Val: Yeah.
[03:58:40.460 --> 03:58:44.460]  Fed: But just for the Caymans thing right now, so...
[03:58:44.460 --> 03:58:46.460]  Val: Well, Formations House as well.
[03:58:46.460 --> 03:58:48.460]  Val: I've done it before.
[03:58:48.460 --> 03:58:51.460]  Val: But actually, there was no discussion.
[03:58:51.460 --> 03:58:52.460]  Val: That's interesting.
[03:58:52.460 --> 03:58:53.460]  Val: You have a good point.
[03:58:53.460 --> 03:58:55.460]  Val: Yeah, there was no discussion for Formation House.
[03:58:55.460 --> 03:58:57.460]  Val: That means that Emma already knew who did it.
[03:58:57.460 --> 03:58:58.460]  Fed: Oh, yeah.
[03:58:58.460 --> 03:59:00.460]  Val: So that's why it's the way I take out statements.
[03:59:00.460 --> 03:59:01.460]  Fed: Yeah.
[03:59:01.460 --> 03:59:03.460]  Val: But since there was a lot of discussion for, like,
[03:59:03.460 --> 03:59:06.460]  Val: Caymans, that means no one really knew who did it.
[03:59:06.460 --> 03:59:08.460]  Fed: Who did Formations House?
[03:59:08.460 --> 03:59:09.460]  Val: I don't know.
[03:59:09.460 --> 03:59:10.460]  Val: It wasn't you.
[03:59:10.460 --> 03:59:11.460]  Val: I just joined the...
[03:59:11.460 --> 03:59:12.460]  Val: the thing in the...
[03:59:12.460 --> 03:59:14.460]  Val: well, Marie was stuck in France,
[03:59:14.460 --> 03:59:16.460]  Val: so that was the summer of last year.
[03:59:16.460 --> 03:59:18.460]  Val: That's when that happened.
[03:59:18.460 --> 03:59:20.460]  Val: But I did tell Tim Jammi? like,
[03:59:20.460 --> 03:59:22.460]  Val: hey, new data.
[03:59:22.460 --> 03:59:23.460]  Val: You know?
[03:59:23.460 --> 03:59:24.460]  Fed: Yeah.
[03:59:24.460 --> 03:59:26.460]  Val: And, oh, God, oh, the whip, yeah.
[03:59:26.460 --> 03:59:28.460]  Val: Okay, so I...
[03:59:28.460 --> 03:59:30.460]  Val: at this point, I'm, everyone knows,
[03:59:30.460 --> 03:59:32.460]  Val: I was working with the FBI, the source.
[03:59:32.460 --> 03:59:33.460]  Val: Well, Emma said to me,
[03:59:33.460 --> 03:59:36.460]  Val: I need you to relay a message to the FBI.
[03:59:36.460 --> 03:59:37.460]  Val: I was like, what?
[03:59:37.460 --> 03:59:39.460]  Val: She said, yes, I want you to give these guys a message.
[03:59:39.460 --> 03:59:40.460]  Val: Okay.
[03:59:40.460 --> 03:59:42.460]  Val: She's like, tell them about Formation Towns.
[03:59:42.460 --> 03:59:45.460]  Val: I want you to give them a list of people you've...
[03:59:45.460 --> 03:59:46.460]  Val: that are...
[03:59:46.460 --> 03:59:47.460]  Val: and I have it.
[03:59:47.460 --> 03:59:48.460]  Val: I can give you the email.
[03:59:48.460 --> 03:59:50.460]  Val: I'll just forward it to you when I get a chance.
[03:59:50.460 --> 03:59:51.460]  Val: Remind me, text me.
[03:59:51.460 --> 03:59:52.460]  Val: I don't forget.
[03:59:52.460 --> 03:59:54.460]  Val: And I gave it to Tim.
[03:59:54.460 --> 03:59:55.460]  Val: I gave it to Jeremy.[???]
[03:59:55.460 --> 03:59:56.460]  Val: And they were not...
[03:59:56.460 --> 03:59:57.460]  Val: they were like, okay, great.
[03:59:57.460 --> 03:59:58.460]  Val: We don't really care.
[03:59:58.460 --> 03:59:59.460]  Val: Like, give one to a Deutsche Bank.
[03:59:59.460 --> 04:00:01.460]  Val: We don't care about Formation Towns.
[04:00:01.460 --> 04:00:04.460]  Val: And Emma felt like she was not heard by the FBI
[04:00:04.460 --> 04:00:06.460]  Val: because she wanted to help,
[04:00:06.460 --> 04:00:08.460]  Val: but she was not heard.
[04:00:08.460 --> 04:00:09.460]  Val: She was offering help.
[04:00:09.460 --> 04:00:12.460]  Val: She said, look, I'll give you guys the data.
[04:00:12.460 --> 04:00:13.460]  Val: You have a time limit.
[04:00:13.460 --> 04:00:15.460]  Val: That's why it's going to go live in a month.
[04:00:15.460 --> 04:00:18.460]  Val: I'll give you three months to find the information.
[04:00:18.460 --> 04:00:20.460]  Val: I'll forward it to you.
[04:00:20.460 --> 04:00:21.460]  Fed: Okay.
[04:00:21.460 --> 04:00:23.460]  Fed: I'm just writing a line to someone to text you.
[04:00:23.460 --> 04:00:24.460]  Val: Yeah.
[04:00:24.460 --> 04:00:26.460]  Fed: I don't know if we got it.
[04:00:26.460 --> 04:00:28.460]  Fed: That's what I'm writing.
[04:00:28.460 --> 04:00:30.460]  Fed: Okay.
[04:00:30.460 --> 04:00:31.460]  Fed: All right.
[04:00:31.460 --> 04:00:33.460]  Fed: Any other signal groups that...
[04:00:33.460 --> 04:00:35.460]  Fed: that you're part of that talk about hacking?
[04:00:35.460 --> 04:00:36.460]  Val: Yeah.
[04:00:36.460 --> 04:00:37.460]  Val: Well, they're all...
[04:00:37.460 --> 04:00:39.460]  Val: I mean, all the varied groups.
[04:00:39.460 --> 04:00:41.460]  Val: I call them varied groups, but they're all, like, off-shoots.
[04:00:41.460 --> 04:00:42.460]  Fed: Oh, ok.
[04:00:42.460 --> 04:00:44.460]  Val: The Formations House one is still like this.
[04:00:44.460 --> 04:00:46.460]  Val: But, you know, it's like...
[04:00:46.460 --> 04:00:48.460]  Val: Well, I mean, no one's really posted for like,
[04:00:48.460 --> 04:00:49.460]  Val: like seven months.
[04:00:49.460 --> 04:00:50.460]  Val: Still there.
[04:00:50.460 --> 04:00:51.460]  Fed: Okay.
[04:00:51.460 --> 04:00:53.460]  Val: And I created a few groups of my own, you know,
[04:00:53.460 --> 04:00:55.460]  Val: a Deutsche Bank group.
[04:00:55.460 --> 04:00:56.460]  Val: Journalists like a Luke Harding
[04:00:56.460 --> 04:00:58.460]  Val: and bunch of other journalists.
[04:00:58.460 --> 04:01:00.460]  Val: Oh, and every...
[04:01:00.460 --> 04:01:01.460]  Val: there's every...
[04:01:01.460 --> 04:01:03.460]  Val: once in a while, there's like a fun star chamber
[04:01:03.460 --> 04:01:06.460]  Val: where you get someone and everyone's going to stop at
[04:01:06.460 --> 04:01:09.460]  Val: and we put them in a group, you know, and we just sort of tap.
[04:01:09.460 --> 04:01:11.460]  Val: You know, see what they say.
[04:01:11.460 --> 04:01:12.460]  Fed: Yeah.
[04:01:12.460 --> 04:01:14.460]  Val: Well, like Louise Mensch, she put her in a group
[04:01:14.460 --> 04:01:16.460]  Val: and he started, you know, what the fuck are you doing?
[04:01:16.460 --> 04:01:18.460]  Val: Why did you say this about Scott's father?
[04:01:18.460 --> 04:01:19.460]  Val: Scott Steadman's father is a cop.
[04:01:19.460 --> 04:01:20.460]  Fed: Oh.
[04:01:20.460 --> 04:01:21.460]  Val: She doxxed me.
[04:01:21.460 --> 04:01:22.460]  Fed: Oh.
[04:01:22.460 --> 04:01:23.460]  Val: What the fuck are you doing?
[04:01:23.460 --> 04:01:24.460]  Val: Why are you going after his father?
[04:01:24.460 --> 04:01:26.460]  Val: You know, she's like, well, he's a Russian spy.
[04:01:26.460 --> 04:01:27.460]  Val: You know, you're just fucking crazy.
[04:01:27.460 --> 04:01:29.460]  Val: Do you understand what you're fucking doing?
[04:01:29.460 --> 04:01:30.460]  Val: That's weird.
[04:01:30.460 --> 04:01:31.460]  Fed: Yeah.
[04:01:31.460 --> 04:01:32.460]  Val: I think...
[04:01:32.460 --> 04:01:34.460]  Val: Like, David Enrich was supposed to be in one
[04:01:34.460 --> 04:01:37.460]  Val: right before COVID, the next guy.
[04:01:37.460 --> 04:01:38.460]  Val: It was a prize.
[04:01:38.460 --> 04:01:40.460]  Val: It was a present for me.
[04:01:40.460 --> 04:01:43.460]  Fed: It's like a little beat down room.
[04:01:43.460 --> 04:01:44.460]  Val: Yeah.
[04:01:44.460 --> 04:01:45.460]  Fed: That's weird.
[04:01:45.460 --> 04:01:47.460]  Fed: Hey, what are you talking about?
[04:01:47.460 --> 04:01:48.460]  Fed: What are you talking about?
[04:01:48.460 --> 04:01:49.460]  Fed: I'm talking about you.
[04:01:49.460 --> 04:01:50.460]  Fed: What?
[04:01:50.460 --> 04:01:51.460]  Fed: Cool.
[04:01:51.460 --> 04:01:53.460]  Fed: Anything else that I missed?
[04:01:53.460 --> 04:01:55.460]  Fed: Anything else that you think that...
[04:01:55.460 --> 04:01:56.460]  Val: Yes.
[04:01:56.460 --> 04:01:57.460]  Val: Tons of stuff
