
[26:19.000 --> 26:20.000]  So I,
[46:08.000 --> 46:10.000]  everything that just happened is,
[46:10.000 --> 46:12.000]  weaponizing DCFS,
[46:12.000 --> 46:14.000]  he just did it,
[46:15.000 --> 46:17.000]  and it forgot it limited capacity,
[46:17.000 --> 46:18.000]  I know that it wasn't him,
[46:18.000 --> 46:19.000]  it's gotta be the lawyers,
[46:19.000 --> 46:21.000]  his lawyers are pretty smart,
[46:21.000 --> 46:22.000]  because he's got money,
[46:22.000 --> 46:23.000]  he's got like seven lawyers,
[46:23.000 --> 46:24.000]  you know,
[46:24.000 --> 46:25.000]  you have one guy
[46:25.000 --> 46:27.000]  that barely leaves his office,
[46:27.000 --> 46:28.000]  we do most of the work,
[46:28.000 --> 46:29.000]  Marie and I.
[46:30.000 --> 46:31.000]  Anyway,
[46:34.000 --> 46:36.000]  so Marie and I are like,
[46:36.000 --> 46:38.000]  we've gone through two cleaning ladies,
[46:38.000 --> 46:39.000]  one live in the brewery,
[46:39.000 --> 46:40.000]  and one girl,
[46:40.000 --> 46:41.000]  she's great,
[46:41.000 --> 46:43.000]  she was like too cute for me,
[46:43.000 --> 46:44.000]  because,
[46:44.000 --> 46:45.000]  why is she doing it?
[46:45.000 --> 46:46.000]  Marie,
[46:46.000 --> 46:47.000]  why is she doing it?
[46:47.000 --> 46:48.000]  I'm not staring at her,
[46:48.000 --> 46:49.000]  why does she have to worry
[46:49.000 --> 46:50.000]  about these tight pants?
[46:50.000 --> 46:51.000]  I'm like,
[46:51.000 --> 46:52.000]  no, I didn't ask her,
[46:52.000 --> 46:53.000]  it's not my fault,
[46:53.000 --> 46:54.000]  and then one day,
[46:54.000 --> 46:55.000]  she's like,
[46:55.000 --> 46:56.000]  you know what,
[46:56.000 --> 46:57.000]  I don't want to clean,
[46:57.000 --> 46:58.000]  I want to sing,
[46:58.000 --> 46:59.000]  I want to make music,
[46:59.000 --> 47:00.000]  I'm like, okay,
[47:00.000 --> 47:01.000]  go make some music,
[47:01.000 --> 47:02.000]  so she quit,
[47:02.000 --> 47:03.000]  so we start cleaning,
[47:03.000 --> 47:04.000]  and in Richard,
[47:04.000 --> 47:05.000]  you know,
[47:05.000 --> 47:06.000]  Marla gets in trouble,
[47:06.000 --> 47:07.000]  we're like,
[47:07.000 --> 47:08.000]  oh,
[47:08.000 --> 47:09.000]  you gotta do the dishes,
[47:09.000 --> 47:10.000]  you know,
[47:10.000 --> 47:11.000]  you have to wipe and clean,
[47:11.000 --> 47:12.000]  and he doesn't like that either,
[47:12.000 --> 47:13.000]  so we thought,
[47:13.000 --> 47:14.000]  why not do,
[47:14.000 --> 47:15.000]  get a nanny slash,
[47:15.000 --> 47:16.000]  a housekeeper,
[47:16.000 --> 47:17.000]  okay,
[47:17.000 --> 47:18.000]  somebody can do both,
[47:18.000 --> 47:19.000]  watch Marla,
[47:19.000 --> 47:20.000]  we can have some time alone,
[47:20.000 --> 47:22.000]  and they can clean the fucking house.
[47:22.000 --> 47:24.000]  So we do put the feelers out,
[47:24.000 --> 47:25.000]  Marie puts them out
[47:25.000 --> 47:28.000]  on some next door,
[47:28.000 --> 47:30.000]  it's a couple other websites.
[47:30.000 --> 47:31.000]  I ask everybody,
[47:31.000 --> 47:32.000]  I know,
[47:32.000 --> 47:33.000]  oh,
[47:33.000 --> 47:34.000]  sorry,
[47:34.000 --> 47:35.000]  I forgot,
[47:35.000 --> 47:36.000]  I almost forgot Patel.
[47:36.000 --> 47:39.000]  Patel is a labor,
[47:39.000 --> 47:40.000]  one,
[47:40.000 --> 47:41.000]  two,
[47:41.000 --> 47:42.000]  three,
[47:42.000 --> 47:43.000]  three doors down,
[47:43.000 --> 47:44.000]  four doors down,
[47:44.000 --> 47:45.000]  I thought she'd just moved in,
[47:45.000 --> 47:46.000]  in like July,
[47:46.000 --> 47:47.000]  or sorry,
[47:47.000 --> 47:48.000]  mid June,
[47:48.000 --> 47:49.000]  I'd never seen her before,
[47:49.000 --> 47:50.000]  but all of a sudden,
[47:50.000 --> 47:51.000]  she's there,
[47:51.000 --> 47:52.000]  everywhere,
[47:52.000 --> 47:53.000]  very loud and boisterous,
[47:53.000 --> 47:54.000]  and she,
[47:54.000 --> 47:55.000]  outside,
[47:55.000 --> 47:56.000]  look,
[47:56.000 --> 47:57.000]  at our place,
[47:57.000 --> 47:58.000]  there's a little park
[47:58.000 --> 47:59.000]  across the way,
[47:59.000 --> 48:01.000]  and Marla always hangs out there,
[48:01.000 --> 48:02.000]  and so everyone,
[48:02.000 --> 48:03.000]  sort of,
[48:03.000 --> 48:04.000]  the brewery,
[48:04.000 --> 48:05.000]  the brewery,
[48:05.000 --> 48:06.000]  artist loft,
[48:06.000 --> 48:07.000]  it's like an artist community,
[48:07.000 --> 48:09.000]  so it's a campus,
[48:09.000 --> 48:10.000]  more or less,
[48:10.000 --> 48:12.000]  and it's just 300 lofts,
[48:12.000 --> 48:14.000]  with a whole bunch of it,
[48:14.000 --> 48:16.000]  with six or 900 people in it,
[48:16.000 --> 48:17.000]  it's a different spot,
[48:17.000 --> 48:18.000]  so everyone hangs out
[48:18.000 --> 48:19.000]  in the sort of park areas,
[48:19.000 --> 48:20.000]  where we are,
[48:20.000 --> 48:22.000]  because it's closest to us.
[48:22.000 --> 48:23.000]  She says,
[48:23.000 --> 48:24.000]  she saw him in the park,
[48:24.000 --> 48:26.000]  and she showed him his jewelry,
[48:26.000 --> 48:27.000]  and he said,
[48:27.000 --> 48:28.000]  oh, I want to make this,
[48:28.000 --> 48:29.000]  just some jewelry,
[48:29.000 --> 48:30.000]  and I was like,
[48:30.000 --> 48:31.000]  you want to make crystal jewelry?
[48:31.000 --> 48:32.000]  He's like,
[48:32.000 --> 48:33.000]  yes,
[48:33.000 --> 48:34.000]  I want to make crystal jewelry.
[48:34.000 --> 48:35.000]  Like, okay, Marla,
[48:35.000 --> 48:36.000]  you can make some crystal jewelry.
[48:36.000 --> 48:37.000]  So we take him over there,
[48:37.000 --> 48:39.000]  and she seems sane, right?
[48:39.000 --> 48:40.000]  I know something's off,
[48:40.000 --> 48:41.000]  you know,
[48:41.000 --> 48:42.000]  I mean,
[48:42.000 --> 48:43.000]  I can sense it,
[48:43.000 --> 48:44.000]  I know something's wrong,
[48:44.000 --> 48:46.000]  but I figure maybe this is like,
[48:46.000 --> 48:47.000]  she's in a,
[48:47.000 --> 48:49.000]  just got her parents' house,
[48:49.000 --> 48:50.000]  or she's moving,
[48:50.000 --> 48:51.000]  trying to make her life,
[48:51.000 --> 48:52.000]  or start a new world.
[48:52.000 --> 48:53.000]  I mean,
[48:53.000 --> 48:54.000]  there's no way she's making money
[48:54.000 --> 48:55.000]  selling crystal jewelry, okay?
[48:55.000 --> 48:56.000]  It's,
[48:56.000 --> 48:57.000]  first of all,
[48:57.000 --> 48:58.000]  it's shitty jewelry,
[48:58.000 --> 48:59.000]  no one's buying it,
[48:59.000 --> 49:00.000]  and it's way too expensive.
[49:00.000 --> 49:01.000]  It's not $4,500 a month,
[49:01.000 --> 49:02.000]  on that place.
[49:02.000 --> 49:03.000]  I know what she's paying too.
[49:03.000 --> 49:04.000]  So,
[49:04.000 --> 49:05.000]  I figure there's some parents
[49:05.000 --> 49:06.000]  paying for it,
[49:06.000 --> 49:07.000]  or something,
[49:07.000 --> 49:08.000]  or maybe a brother,
[49:08.000 --> 49:10.000]  definitely not a sugar daddy type,
[49:10.000 --> 49:12.000]  because she's the most unattractive
[49:12.000 --> 49:13.000]  woman I've ever seen.
[49:13.000 --> 49:14.000]  Like,
[49:14.000 --> 49:15.000]  you see her,
[49:15.000 --> 49:16.000]  and you're like,
[49:16.000 --> 49:17.000]  whoa,
[49:17.000 --> 49:18.000]  okay,
[49:18.000 --> 49:19.000]  and it's unfortunate for her,
[49:19.000 --> 49:20.000]  but it is true.
[49:20.000 --> 49:21.000]  So,
[49:21.000 --> 49:22.000]  anyway,
[49:22.000 --> 49:23.000]  she,
[49:23.000 --> 49:24.000]  we brought her over,
[49:24.000 --> 49:25.000]  and we approved
[49:25.000 --> 49:26.000]  for like two hours a day.
[49:26.000 --> 49:27.000]  We thought that couldn't be,
[49:27.000 --> 49:28.000]  literally,
[49:28.000 --> 49:29.000]  you can walk in 10 seconds
[49:29.000 --> 49:30.000]  and get to her house,
[49:30.000 --> 49:31.000]  or something.
[49:31.000 --> 49:32.000]  It's like,
[49:32.000 --> 49:33.000]  there's no danger,
[49:33.000 --> 49:34.000]  you know?
[49:34.000 --> 49:35.000]  And Miles said,
[49:35.000 --> 49:36.000]  please, please,
[49:36.000 --> 49:37.000]  can I have that crystal jewelry, please?
[49:37.000 --> 49:38.000]  Okay,
[49:38.000 --> 49:39.000]  yes,
[49:39.000 --> 49:40.000]  and we get two hours to ourselves now.
[49:40.000 --> 49:41.000]  So,
[49:41.000 --> 49:42.000]  we're happy.
[49:42.000 --> 49:43.000]  So,
[49:43.000 --> 49:44.000]  for five days,
[49:44.000 --> 49:45.000]  and he makes crystal jewelry.
[49:45.000 --> 49:46.000]  He comes back for lunch.
[49:46.000 --> 49:47.000]  He eats with us.
[49:47.000 --> 49:48.000]  Sometimes,
[49:48.000 --> 49:49.000]  Marie brings them lunch.
[49:49.000 --> 49:50.000]  Sometimes,
[49:50.000 --> 49:51.000]  I'll go over there
[49:51.000 --> 49:52.000]  and just see what's going on.
[49:52.000 --> 49:53.000]  Everything's friendly and copicetic.
[49:53.000 --> 49:54.000]  You can always,
[49:54.000 --> 49:55.000]  she's no problem.
[49:55.000 --> 49:56.000]  She's a talker.
[49:56.000 --> 49:57.000]  She likes to jab her
[49:57.000 --> 49:58.000]  about herself.
[49:58.000 --> 49:59.000]  She will not ask you anything
[49:59.000 --> 50:00.000]  about how you are,
[50:00.000 --> 50:01.000]  where you're from,
[50:01.000 --> 50:02.000]  or anything.
[50:02.000 --> 50:03.000]  She'll just tell you everything
[50:03.000 --> 50:04.000]  she knows about everybody.
[50:04.000 --> 50:05.000]  Gossip,
[50:05.000 --> 50:06.000]  gossip, gossip.
[50:06.000 --> 50:07.000]  People live like that.
[50:07.000 --> 50:08.000]  Yeah,
[50:08.000 --> 50:09.000]  yeah.
[50:09.000 --> 50:10.000]  It's,
[50:10.000 --> 50:11.000]  well,
[50:11.000 --> 50:12.000]  it's because that's what she thinks
[50:12.000 --> 50:13.000]  her value is,
[50:13.000 --> 50:14.000]  and that's why we're,
[50:14.000 --> 50:15.000]  you know,
[50:15.000 --> 50:16.000]  it's very,
[50:16.000 --> 50:17.000]  I understand it,
[50:17.000 --> 50:18.000]  but,
[50:18.000 --> 50:19.000]  but I mentioned,
[50:19.000 --> 50:20.000]  Marlo,
[50:20.000 --> 50:21.000]  like,
[50:21.000 --> 50:22.000]  making crafts.
[50:22.000 --> 50:23.000]  Anything,
[50:23.000 --> 50:24.000]  and we found someone,
[50:24.000 --> 50:25.000]  like,
[50:25.000 --> 50:26.000]  I'll talk to him, too.
[50:26.000 --> 50:27.000]  And that was like,
[50:27.000 --> 50:28.000]  you know,
[50:28.000 --> 50:29.000]  it was so,
[50:29.000 --> 50:30.000]  it was interesting,
[50:30.000 --> 50:31.000]  but he loved it.
[50:31.000 --> 50:32.000]  And he even said,
[50:32.000 --> 50:33.000]  down,
[50:33.000 --> 50:34.000]  down Marlo,
[50:34.000 --> 50:35.000]  bye,
[50:35.000 --> 50:36.000]  have you liked my whole life?
[50:36.000 --> 50:37.000]  I've already made crystal jewelry.
[50:37.000 --> 50:38.000]  Your whole life,
[50:38.000 --> 50:39.000]  figures on.
[50:39.000 --> 50:40.000]  He's like,
[50:40.000 --> 50:41.000]  it's a huge revelation,
[50:41.000 --> 50:42.000]  yeah.
[50:42.000 --> 50:43.000]  All right, Marlo,
[50:43.000 --> 50:44.000]  you go for it.
[50:44.000 --> 50:45.000]  Of course,
[50:45.000 --> 50:46.000]  he got bored with it,
[50:46.000 --> 50:47.000]  you know,
[50:47.000 --> 50:48.000]  four days later.
[50:48.000 --> 50:49.000]  But on Saturday,
[50:49.000 --> 50:50.000]  Patil decided to sell the jewelry
[50:50.000 --> 50:52.000]  that she had been making with Marlo.
[50:52.000 --> 50:53.000]  So,
[50:53.000 --> 50:54.000]  they go and they set up
[50:54.000 --> 50:55.000]  a thing in the park,
[50:55.000 --> 50:56.000]  like,
[50:56.000 --> 50:57.000]  just a table,
[50:57.000 --> 50:58.000]  and all the people from
[50:58.000 --> 50:59.000]  the community come over
[50:59.000 --> 51:00.000]  and they see Marlo,
[51:00.000 --> 51:01.000]  and he's fucking adorable,
[51:01.000 --> 51:02.000]  selling jewelry,
[51:02.000 --> 51:03.000]  so people buy jewelry.
[51:03.000 --> 51:04.000]  Of course,
[51:04.000 --> 51:05.000]  I buy most of it,
[51:05.000 --> 51:06.000]  you know,
[51:06.000 --> 51:07.000]  so,
[51:07.000 --> 51:08.000]  and I have to buy some Patil's jewelry, too,
[51:08.000 --> 51:09.000]  because it looks bad,
[51:09.000 --> 51:11.000]  but she's not really selling any.
[51:11.000 --> 51:12.000]  So,
[51:12.000 --> 51:13.000]  I buy some of her,
[51:13.000 --> 51:14.000]  so I spend like 250 bucks
[51:14.000 --> 51:15.000]  on this useless jewelry
[51:15.000 --> 51:16.000]  that's already broken,
[51:16.000 --> 51:17.000]  right?
[51:17.000 --> 51:18.000]  Um,
[51:18.000 --> 51:19.000]  Steve is $250.
[51:19.000 --> 51:20.000]  I don't know.
[51:20.000 --> 51:21.000]  No,
[51:21.000 --> 51:22.000]  no,
[51:22.000 --> 51:23.000]  I've not,
[51:23.000 --> 51:24.000]  but it's like 30 pieces,
[51:24.000 --> 51:25.000]  you know,
[51:25.000 --> 51:26.000]  it's ridiculous.
[51:26.000 --> 51:27.000]  Yeah,
[51:27.000 --> 51:28.000]  you don't need it,
[51:28.000 --> 51:29.000]  trust me.
[51:29.000 --> 51:30.000]  It's not necessary.
[51:30.000 --> 51:31.000]  But,
[51:31.000 --> 51:32.000]  but Steve,
[51:32.000 --> 51:33.000]  I invite Steve,
[51:33.000 --> 51:34.000]  because I'm a nice guy.
[51:34.000 --> 51:35.000]  So,
[51:35.000 --> 51:36.000]  I'm like,
[51:36.000 --> 51:37.000]  Steve would like to see this.
[51:37.000 --> 51:38.000]  His son is making money
[51:38.000 --> 51:39.000]  on something he created
[51:39.000 --> 51:40.000]  on his own.
[51:40.000 --> 51:41.000]  He's better than with his first $20.
[51:41.000 --> 51:42.000]  So,
[51:42.000 --> 51:43.000]  he's ever earned.
[51:43.000 --> 51:44.000]  Steve would like to see this.
[51:44.000 --> 51:45.000]  I think it would be a good idea.
[51:45.000 --> 51:46.000]  And Marie's like,
[51:46.000 --> 51:47.000]  no.
[51:47.000 --> 51:48.000]  I say,
[51:48.000 --> 51:49.000]  come on,
[51:49.000 --> 51:50.000]  let him,
[51:50.000 --> 51:51.000]  he's got to,
[51:51.000 --> 51:52.000]  he'll enjoy this.
[51:52.000 --> 51:53.000]  Because we give him visits every week
[51:53.000 --> 51:54.000]  or whenever he wants to,
[51:54.000 --> 51:55.000]  well,
[51:55.000 --> 51:56.000]  not whenever,
[51:56.000 --> 51:57.000]  basically once a week,
[51:57.000 --> 51:58.000]  but whenever he wants to talk tomorrow,
[51:58.000 --> 51:59.000]  we let him talk,
[51:59.000 --> 52:00.000]  unless tomorrow does not want to talk
[52:00.000 --> 52:01.000]  and not as often.
[52:01.000 --> 52:02.000]  And he does not want to accept that.
[52:02.000 --> 52:03.000]  Um,
[52:03.000 --> 52:04.000]  so,
[52:04.000 --> 52:05.000]  I invite him over
[52:05.000 --> 52:06.000]  and he comes over
[52:06.000 --> 52:07.000]  and,
[52:07.000 --> 52:08.000]  um,
[52:09.000 --> 52:10.000]  and,
[52:12.000 --> 52:13.000]  oh, shit.
[52:13.000 --> 52:14.000]  Um,
[52:14.000 --> 52:15.000]  I forgot I'm working today too,
[52:15.000 --> 52:16.000]  but it's okay.
[52:16.000 --> 52:17.000]  I put on an option
[52:17.000 --> 52:18.000]  because I don't have to worry about it
[52:18.000 --> 52:19.000]  till next week.
[52:19.000 --> 52:20.000]  Um,
[52:20.000 --> 52:21.000]  so,
[52:22.000 --> 52:23.000]  he comes over
[52:23.000 --> 52:24.000]  and he's
[52:24.000 --> 52:25.000]  instantly in the mood changes.
[52:25.000 --> 52:26.000]  You'll,
[52:26.000 --> 52:27.000]  if you ever meet him,
[52:27.000 --> 52:28.000]  you'll see for yourself.
[52:28.000 --> 52:29.000]  You know,
[52:29.000 --> 52:30.000]  it's one of those people,
[52:30.000 --> 52:31.000]  everything's sort of down,
[52:31.000 --> 52:32.000]  now I'm depressing
[52:32.000 --> 52:33.000]  and self-conscious.
[52:33.000 --> 52:34.000]  You know,
[52:34.000 --> 52:35.000]  because that's what he,
[52:35.000 --> 52:36.000]  that's what he emulates.
[52:36.000 --> 52:37.000]  Um,
[52:37.000 --> 52:38.000]  he seems somewhat immune
[52:38.000 --> 52:39.000]  to it right now,
[52:39.000 --> 52:40.000]  but he won't be in the future.
[52:40.000 --> 52:41.000]  I know it.
[52:41.000 --> 52:42.000]  I could see it happen.
[52:42.000 --> 52:43.000]  Um,
[52:43.000 --> 52:44.000]  he asked Patille
[52:44.000 --> 52:45.000]  for her number.
[52:45.000 --> 52:46.000]  Steve.
[52:46.000 --> 52:47.000]  Steve does.
[52:47.000 --> 52:49.000]  Which I thought was strange.
[52:49.000 --> 52:50.000]  Um,
[52:50.000 --> 52:51.000]  but not too strange.
[52:51.000 --> 52:52.000]  Marie said
[52:52.000 --> 52:53.000]  he never asked people
[52:53.000 --> 52:54.000]  for her number.
[52:54.000 --> 52:56.000]  This is not a good idea.
[52:56.000 --> 52:57.000]  Okay.
[52:57.000 --> 52:58.000]  And I said,
[52:58.000 --> 52:59.000]  well,
[52:59.000 --> 53:00.000]  I'll trust you.
[53:00.000 --> 53:01.000]  Um,
[53:02.000 --> 53:03.000]  later that night,
[53:03.000 --> 53:04.000]  Patille,
[53:05.000 --> 53:06.000]  uh,
[53:06.000 --> 53:07.000]  Marie and I are,
[53:07.000 --> 53:08.000]  uh, walking.
[53:08.000 --> 53:09.000]  For some reason,
[53:09.000 --> 53:10.000]  we didn't walk to the,
[53:10.000 --> 53:11.000]  now we weren't doing the laundry,
[53:11.000 --> 53:12.000]  we had to walk past the park.
[53:12.000 --> 53:13.000]  I can't remember why.
[53:13.000 --> 53:14.000]  Um,
[53:14.000 --> 53:15.000]  and we see Patille
[53:15.000 --> 53:16.000]  and three other girls
[53:16.000 --> 53:17.000]  sitting in the park
[53:17.000 --> 53:18.000]  by candlelight talking.
[53:18.000 --> 53:19.000]  And I go,
[53:19.000 --> 53:20.000]  hey,
[53:20.000 --> 53:21.000]  nice to see you guys.
[53:21.000 --> 53:22.000]  We're going back,
[53:22.000 --> 53:23.000]  going to bed,
[53:23.000 --> 53:24.000]  cause I had to wake up early
[53:24.000 --> 53:25.000]  for some reason.
[53:25.000 --> 53:26.000]  Um,
[53:26.000 --> 53:27.000]  I can't remember why.
[53:27.000 --> 53:28.000]  I had to wake up early.
[53:28.000 --> 53:29.000]  I was upset at Marie
[53:29.000 --> 53:30.000]  for making me stay up so late.
[53:30.000 --> 53:31.000]  You know,
[53:31.000 --> 53:32.000]  I was like,
[53:32.000 --> 53:33.000]  I had to,
[53:33.000 --> 53:34.000]  he promised me
[53:34.000 --> 53:35.000]  to get to bed before,
[53:35.000 --> 53:36.000]  and I had to do extra shit
[53:36.000 --> 53:37.000]  for something.
[53:37.000 --> 53:38.000]  So she says,
[53:38.000 --> 53:39.000]  okay,
[53:39.000 --> 53:40.000]  don't worry,
[53:40.000 --> 53:41.000]  let's just have a quick talk
[53:41.000 --> 53:42.000]  with Patille
[53:42.000 --> 53:43.000]  and talk about the day.
[53:43.000 --> 53:44.000]  So,
[53:44.000 --> 53:45.000]  you know,
[53:45.000 --> 53:46.000]  okay,
[53:46.000 --> 53:47.000]  fine.
[53:47.000 --> 53:48.000]  But that quick talk with Patille
[53:48.000 --> 53:49.000]  means she's going to talk
[53:49.000 --> 53:50.000]  to you at you for an hour.
[53:50.000 --> 53:51.000]  You know,
[53:51.000 --> 53:52.000]  and of course,
[53:52.000 --> 53:53.000]  I'm,
[53:53.000 --> 53:54.000]  and Marielett does it,
[53:54.000 --> 53:55.000]  so I'm the one that says,
[53:55.000 --> 53:56.000]  okay,
[53:56.000 --> 53:57.000]  enough,
[53:57.000 --> 53:58.000]  I've got to go to sleep.
[53:58.000 --> 53:59.000]  Right?
[53:59.000 --> 54:00.000]  I'm going to have to be the asshole.
[54:00.000 --> 54:01.000]  So I say,
[54:01.000 --> 54:02.000]  okay, fine.
[54:02.000 --> 54:03.000]  She comes into our place
[54:03.000 --> 54:04.000]  for the first time.
[54:04.000 --> 54:11.000]  In our entrance living room, we have a loft, there's an upstairs, back room, there's a whole bunch of fucking space.
[54:11.000 --> 54:15.000]  And I'm like, okay, great, let's just go outside and smoke a cigarette and have a go.
[54:15.000 --> 54:17.000]  She says, okay.
[54:17.000 --> 54:23.000]  Go outside and we're underneath now my surveillance camera, okay?
[54:23.000 --> 54:27.000]  And I have a 30-day fucking break point.
[54:27.000 --> 54:36.000]  Marie is typing a letter now to send to LogiCircle to get this fucking tape because this will change everything.
[54:36.000 --> 54:43.000]  Patille and we're smoking a cigarette and Patille goes on a tirade about how much she sees evil in Steve.
[54:43.000 --> 54:47.000]  I looked in his eyes and all I saw was pure evil.
[54:47.000 --> 54:49.000]  You know, like they're really dramatic.
[54:49.000 --> 54:51.000]  I'm like, okay, come on, let's go.
[54:51.000 --> 54:55.000]  She's like really, she gets in my face like, I don't really, I got in his eyes and I saw nothing.
[54:55.000 --> 54:57.000]  It was blank. It was evil.
[54:57.000 --> 55:01.000]  I said, no, Patille, what you saw was emptiness. There's just nothing in there.
[55:01.000 --> 55:03.000]  He's not very smart.
[55:03.000 --> 55:05.000]  She was, no, no, no, it was evil.
[55:05.000 --> 55:09.000]  This was our conversation for like a good 15 minutes, right?
[55:09.000 --> 55:17.000]  So not only are we confident that Patille hates Steve, you know, that she's not going to sell us out or do anything stupid.
[55:17.000 --> 55:20.000]  We were like, okay, she's, you know, we believe her.
[55:20.000 --> 55:25.000]  But, you know, I don't realize and I'm stupid because I forgot this is classic bipolar.
[55:25.000 --> 55:27.000]  That's what I picked up on.
[55:27.000 --> 55:29.000]  This woman is fucking classic bipolar.
[55:29.000 --> 55:36.000]  And I've seen this so many times and I was dumb to not listen to my instinct that first day when I knew something was wrong.
[55:36.000 --> 55:37.000]  I didn't know what it was.
[55:37.000 --> 55:39.000]  I didn't think about it hard enough.
[55:39.000 --> 55:42.000]  I think that's where I fucked up because that's what she is.
[55:42.000 --> 55:48.000]  And now I see it because they flip one extreme to the next and that's exactly what happened.
[55:48.000 --> 55:52.000]  Now in her report, she says she reached out to Steve via Instagram.
[55:52.000 --> 55:53.000]  Not true.
[55:53.000 --> 55:55.000]  They have, she's got a phone number.
[55:55.000 --> 55:56.000]  Okay.
[55:56.000 --> 56:05.000]  She wrote a report because we stopped seeing her after this because also there was something she was fucking dancing naked with Marlowe, supposedly.
[56:05.000 --> 56:09.000]  Marlowe says she was dancing, but she may or may or not have been naked.
[56:09.000 --> 56:11.000]  So Marlowe doesn't really understand.
[56:11.000 --> 56:13.000]  He's going either way.
[56:13.000 --> 56:14.000]  Right.
[56:14.000 --> 56:16.000]  So I don't know what that means with Marlowe, but I don't like it.
[56:16.000 --> 56:18.000]  He said he felt uncomfortable.
[56:18.000 --> 56:19.000]  He tried not to look.
[56:19.000 --> 56:23.000]  All he said, all I wanted to do was finish making the jewelry and she wanted to dance.
[56:23.000 --> 56:26.000]  So that was enough for us to think this is enough of this.
[56:26.000 --> 56:27.000]  Okay.
[56:27.000 --> 56:28.000]  We put him in camp the next day.
[56:28.000 --> 56:31.000]  He goes to a beach day camp for the next two weeks.
[56:31.000 --> 56:33.000]  Now we don't hear from Patel for a long time.
[56:33.000 --> 56:34.000]  We think something's wrong.
[56:34.000 --> 56:36.000]  Why is she like say hello?
[56:36.000 --> 56:40.000]  We don't see because she's not voice person friendly.
[56:40.000 --> 56:45.000]  Then we get hit with Steve's lawyers.
[56:45.000 --> 56:48.000]  Like a dossier.
[56:48.000 --> 56:52.000]  They send like a thing saying here are the witness statements I have.
[56:52.000 --> 56:53.000]  Why yours is a terrible person.
[56:53.000 --> 56:55.000]  Here's why I'm great.
[56:55.000 --> 56:57.000]  Not quite enough to do.
[56:57.000 --> 57:01.000]  It's like an aggregate.
[57:01.000 --> 57:08.000]  Yeah, summary of what she wanted and other people saying that me is a terrible person.
[57:08.000 --> 57:20.000]  I want to say July 30th approximately July 30th.
[57:20.000 --> 57:27.000]  So we see this and what we read is so fucking outrageously crazy.
[57:27.000 --> 57:37.000]  She said that Marlowe is walking around without a shirt barefoot and is combing through garbage for fucking food.
[57:37.000 --> 57:38.000]  Seriously.
[57:38.000 --> 57:40.000]  He's going through dumpster for food.
[57:40.000 --> 57:42.000]  And he says Marie is doing the same thing.
[57:42.000 --> 57:44.000]  Or sorry, she says Marie is doing the same thing.
[57:44.000 --> 57:49.000]  And then she says that Marie is walking around itching and scratching with sores all over her body.
[57:49.000 --> 57:50.000]  A classic junkie.
[57:50.000 --> 57:55.000]  She named every single drug in the world from fucking crystal meth that PCP did.
[57:55.000 --> 57:57.000]  Some exotic crazy shit.
[57:57.000 --> 58:00.000]  You remember in the heart of, you know.
[58:00.000 --> 58:06.000]  She says that there is a secret hidden room in her loft where all the drugs are stored in the paraphernalia.
[58:06.000 --> 58:07.000]  Okay.
[58:07.000 --> 58:16.000]  She says I have 40, I'm not exaggerating, 40 to 50 cell phones scattered on the tables.
[58:16.000 --> 58:18.000]  Okay.
[58:18.000 --> 58:20.000]  Not fucking exaggerating.
[58:20.000 --> 58:21.000]  And it's even worse.
[58:21.000 --> 58:22.000]  They're worse crazy shit.
[58:22.000 --> 58:24.000]  But those are the ones I remember right now.
[58:24.000 --> 58:28.000]  And we're like what the fuck.
[58:28.000 --> 58:31.000]  You know, and immediately I think that Steve paid her.
[58:31.000 --> 58:32.000]  He had to pay her.
[58:32.000 --> 58:35.000]  But this is before I figured out the bipolar thing.
[58:35.000 --> 58:38.000]  What is the lawyer asking for?
[58:38.000 --> 58:40.000]  They want nothing.
[58:40.000 --> 58:41.000]  The lawyer said nothing.
[58:41.000 --> 58:43.000]  This is like a tactic.
[58:43.000 --> 58:47.000]  At this point you guys are full custody.
[58:47.000 --> 58:51.000]  Well, see the custody arrangement as far as I understand it.
[58:51.000 --> 58:53.000]  Again, I'm not a lawyer and I've never been through it.
[58:53.000 --> 58:58.000]  But since they're still married they both have equal rights to Marla.
[58:58.000 --> 59:00.000]  But no one has any, there are no rules set.
[59:00.000 --> 59:03.000]  So it was a verbal agreement to say 50-50 for a year.
[59:03.000 --> 59:07.000]  So when Marie said no 50-50 it was perfectly legal for her to do that.
[59:07.000 --> 59:12.000]  And then she felt bad and she thought well maybe I should give him to,
[59:12.000 --> 59:15.000]  and also we could want it some time alone after a couple months or like,
[59:15.000 --> 59:17.000]  maybe we should give him to Steve for like a month,
[59:17.000 --> 59:18.000]  or sorry, for a week.
[59:18.000 --> 59:20.000]  And then our lawyer said no.
[59:20.000 --> 59:23.000]  Because there was no rule to stop him from keeping Marla.
[59:23.000 --> 59:26.000]  You know, just as you did he can do the same.
[59:26.000 --> 59:28.000]  So we're like okay, so we keep him.
[59:28.000 --> 59:32.000]  So when we see this thing from Utila it just freaks us out.
[59:32.000 --> 59:33.000]  Like what the fuck.
[59:33.000 --> 59:36.000]  And then DCFS comes over.
[59:36.000 --> 59:38.000]  And I never heard of DCFS.
[59:38.000 --> 59:41.000]  I don't know what the acronym stood for.
